arquivo,cod_estacao,nome_estacao,tipo_estacao,latitude,longitude,altitude_m,periodicidade_fonte,ano,variavel,coluna_detectada,n_registros,n_validos,n_ausentes,pct_validos,n_datas_com_registro,n_datas_com_valor,n_meses_com_valor,inicio_local,fim_local,minimo,p01,mediana,p99,maximo
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2020,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8784,8776,8,99.9089253187614,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,1006.7,1008.5,1012.5,1017.5,1019.7
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2020,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8784,8776,8,99.9089253187614,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,18.2,20.5,26.1,32.2,34.3
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2020,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8784,8776,8,99.9089253187614,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,40,50,76,93,94
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2020,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8784,877,7907,9.98406193078324,366,37,2,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,0.2,0.3,1.9,3.5,3.7
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2021,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",7557,7540,17,99.7750430064841,315,315,11,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,1,30.39,142,330.61,360
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2021,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",7557,7541,16,99.7882757708085,315,315,11,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,1006.5,1008.3,1012.5,1018.4,1020.5
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2021,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",7557,7541,16,99.7882757708085,315,315,11,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,18.8,20.6,25.5,31.9,33.8
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2021,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",7557,7432,125,98.3459044594416,315,315,11,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,40,51,82,100,100
dados_A301_H_2017-01-01_2021-11-11.csv,A301,RECIFE,AUTOMATICA,-8.05916666,-34.95916666,11.3,Horaria,2021,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",7557,7540,17,99.7750430064841,315,315,11,2021-01-01T03:00:00Z,2021-11-11T23:00:00Z,0.1,0.2,1.3,3.2,3.8
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2017,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,1,42.59,127,287,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2017,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,962.9,964.9,971.2,978.2,980.1
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2017,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,17.6,19.5,27,35.7,39
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2017,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,15,22,50,82,88
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2017,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,0,0.7,3.8,6.7,8.8
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2018,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,6412,2348,73.1963470319635,365,299,11,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,1,23.11,124,323.780000000001,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2018,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,6414,2346,73.2191780821918,365,299,11,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,962.5,964.7,970.7,977.4,978.9
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2018,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,6414,2346,73.2191780821918,365,299,11,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,18.4,20.213,27.6,35.3,40.9
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2018,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,6412,2348,73.1963470319635,365,299,11,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,15,22,48,84,89
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2018,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,6412,2348,73.1963470319635,365,299,11,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,0,0.5,3.5,6.1,8.1
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2019,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8760,0,100,365,365,12,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,1,22,126,321,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2019,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8760,0,100,365,365,12,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,962,965.1,971.1,978,979.7
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2019,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,8760,0,100,365,365,12,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,18,20.2,27.5,35.9,38.7
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2019,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,8760,0,100,365,365,12,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,13,19,50,84,89
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2019,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,8760,0,100,365,365,12,2019-01-01T03:00:00Z,2020-01-01T02:00:00Z,0,0.5,3.6,6.2,10.2
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2020,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8784,8784,0,100,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,1,16,129,341.17,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2020,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8784,8784,0,100,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,963.3,965.8,971.3,977.317,980.1
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2020,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8784,8784,0,100,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,17.9,19.6,26.6,35,37
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2020,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8784,8784,0,100,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,14,22.83,58,87,93
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2020,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8784,8784,0,100,366,366,12,2020-01-01T03:00:00Z,2021-01-01T02:00:00Z,0,0.1,3.4,6.1,8.1
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2021,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8760,0,100,365,365,12,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,1,19,129,329,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2021,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8760,0,100,365,365,12,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,962.5,965.2,970.8,978.3,980.7
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2021,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,8760,0,100,365,365,12,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,17.6,19.859,26.6,35.1,37.9
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2021,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,8760,0,100,365,365,12,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,12,24,56,89,93
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2021,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,8760,0,100,365,365,12,2021-01-01T03:00:00Z,2022-01-01T02:00:00Z,0,0,2.9,6,7.5
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2022,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,5328,3432,60.8219178082192,365,222,8,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,1,19,131,344,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2022,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,5328,3432,60.8219178082192,365,222,8,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,964.1,965.7,971,976.6,978
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2022,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,5328,3432,60.8219178082192,365,222,8,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,17.9,19.5,25.8,33.7,35.7
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2022,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,5328,3432,60.8219178082192,365,222,8,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,20,29,62,91,92
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2022,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,5328,3432,60.8219178082192,365,222,8,2022-01-01T03:00:00Z,2023-01-01T02:00:00Z,0,0,3.1,5.9,9.3
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2023,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,5797,2963,66.175799086758,365,243,8,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,2,31.92,130,269,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2023,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,5798,2962,66.1872146118722,365,243,8,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,962.6,964.7,971.7,977.803,979.8
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2023,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,5798,2962,66.1872146118722,365,243,8,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,18.1,20,27.2,36.5,38.5
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2023,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,5798,2962,66.1872146118722,365,243,8,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,14,20,55,90,98
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2023,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,5797,2963,66.175799086758,365,243,8,2023-01-01T03:00:00Z,2024-01-01T02:00:00Z,0.1,0.8,3.4,5.8,9.3
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2024,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8784,3480,5304,39.6174863387978,366,160,9,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,1,31,132,325.21,360
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2024,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8784,3480,5304,39.6174863387978,366,160,9,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,965.3,966.3,971.4,977.1,979
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2024,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8784,3480,5304,39.6174863387978,366,160,9,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,18.2,19.979,26.8,34.7,36.9
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2024,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8784,3476,5308,39.5719489981785,366,160,9,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,18,24,62,93,98
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2024,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8784,3480,5304,39.6174863387978,366,160,9,2024-01-01T03:00:00Z,2025-01-01T02:00:00Z,0.2,0.9,3.3,5.8,7.2
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2025,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8757,0,8757,0,365,0,0,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,,,,,
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2025,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8757,0,8757,0,365,0,0,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,,,,,
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2025,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8757,0,8757,0,365,0,0,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,,,,,
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2025,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8757,0,8757,0,365,0,0,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,,,,,
dados_A307_H_2017-01-01_2025-12-31.csv,A307,PETROLINA,AUTOMATICA,-9.38833333,-40.52333332,372.72,Horaria,2025,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8757,0,8757,0,365,0,0,2025-01-01T03:00:00Z,2025-12-31T23:00:00Z,,,,,
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2017,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,1,37.59,139,221.82,360
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2017,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,931.1,932.6,937.8,943.1,944.5
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2017,temperatura_ar_c,"TEMPERATURA DO AR - BULBO SECO, HORARIA(°C)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,14.5,16.7,22.5,33.6,36.3
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2017,umidade_relativa_pct,"UMIDADE RELATIVA DO AR, HORARIA(%)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,15,25,74,93,94
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2017,velocidade_vento_ms,"VENTO, VELOCIDADE HORARIA(m/s)",8760,8760,0,100,365,365,12,2017-01-01T03:00:00Z,2018-01-01T02:00:00Z,0,0.3,3.7,6.9,9.9
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2018,direcao_vento_graus,"VENTO, DIRECAO HORARIA (gr)(° (gr))",8760,8760,0,100,365,365,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,1,23,133.5,324,360
dados_A309_H_2017-01-01_2025-12-31.csv,A309,ARCO VERDE,AUTOMATICA,-8.4336111,-37.05555555,683.95,Horaria,2018,pressao_estacao_hpa,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB)",8760,8760,0,100,365,365,12,2018-01-01T03:00:00Z,2019-01-01T02:00:00Z,930.4,932.5,937.8,942.9,944.6
